station_name,station_id,index_nbr,latitude,longitude,obs_rems
BEERBURRUM FOREST STATION,264301085,95566,26 57 31S,152 57 43E,GOS
BEGA AWS,264301423,95931,36 40 20S,149 49 09E,"A, GOS"
BEIDAO,264287955,57014,34 34 00N,105 52 00E,GOS
BEIHAI,264288261,59644,21 29 00N,109 06 00E,"GOS, RBSN(S)"
BEIJING,264287775,54511,39 56 00N,116 17 00E,"GOS, GSN, CLIMAT(C), RBCN, RBSN(ST), CTBTO"
BEIRA,264286129,67297,19 48 00S,034 54 00E,"A, WR, GOS, GSN, CLIMAT(C), RBCN, RBSN(S)"
"BEISEKER AGCM, ALTA",264296409,71009,51 22 43N,113 21 26W,GOS
BEITBRIDGE,264287223,67991,22 13 00S,030 00 00E,"GOS, RBCN, RBSN(S)"
BEITEM,264303467,6414,50 54 14N,003 07 18E,GOS
BEITOSTOLEN II,264306835,1365,61 15 02N,008 55 22E,GOS
BEJA (29962-0),264292227,29962,53 03 00N,090 55 00E,GOS
BEJA (60723-0),264286979,60723,36 44 00N,009 11 00E,"AGRIMET, GOS, RBCN, RBSN(S)"
BEJA (8562-0),264307269,8562,38 01 33N,007 52 02W,GOS
BEJA/B. AEREA,264307267,8561,38 04 43N,007 55 36W,"A, GOS"
BEJAIA-AEROPORT,264284767,60402,36 43 00N,005 04 00E,"A, GOS, CLIMAT(C), RBCN, RBSN(S)"
BEKESCSABA,264305523,12992,46 41 00N,021 10 00E,GOS
BEKHTERY,264310131,33907,46 15 00N,032 18 00E,GOS
BEKIBENT,264293375,38756,38 37 00N,055 11 00E,GOS
BEKTAUATA,264290291,35699,47 27 00N,074 49 00E,"GOS, RBSN(S)"
BELAYA GORA,264291549,24194,68 33 00N,146 13 00E,"GOS, RBSN(S)"
BELEM (81680-0),264293919,81680,01 24 37S,048 26 18W,GOS
BELEM (82191-0),264294227,82191,01 27 00S,048 28 00W,"GOS, CLIMAT(C), RBCN"
BELEM (AERO),264294229,82193,01 23 00S,048 29 00W,"A, R, GOS, GUAN, RBSN(ST)"
BELET UEN,264286423,63240,04 42 00N,045 13 00E,"GOS, RBCN, RBSN(S)"
BELFAST,264286479,68285,25 41 30S,030 02 04E,GOS
BELGAUM,264289153,43197,15 51 00N,074 32 00E,GOS
BELGAUM/SAMBRE,264289155,43198,15 51 00N,074 37 00E,"A, GOS, CLIMAT(C), RBCN, RBSN(S)"
BELGOROD,264308161,34214,50 38 00N,036 35 00E,GOS
BELINSKIJ,264308099,27955,52 58 00N,043 24 00E,GOS
BELIZE/LANDIVAR,264296385,78584,17 31 00N,088 12 00W,"GOS, CLIMAT(C)"
BELIZE/PHILLIP GOLDSTON INTL. AIRPORT,264296383,78583,17 32 00N,088 18 00W,"A, R, GOS, GUAN, CLIMAT(C), RBCN, RBSN(ST)"
BELJAEVKA,264292737,35125,51 25 00N,056 25 00E,GOS
"BELLA BELLA, BC",264297453,71582,52 11 06N,128 09 24W,GOS
BELLA UNION,264296211,86315,30 16 42S,057 35 42W,"AGRIMET, GOS"
BELLAMBI AWS,264300637,94749,34 22 09S,150 55 45E,GOS
BELLARY,264289161,43205,15 09 00N,076 51 00E,GOS
BELLE ILE-LE TALUT,264304521,7207,47 17 40N,003 13 06W,"C, GOS, CLIMAT(C), RBCN, RBSN(S)"
BELLINGSHAUSEN,264310535,89050,62 11 59S,058 53 37W,"C, GOS, GSN, ANTON, CLIMAT(C)"
"BELLSHILL AGCM, ALTA",264296411,71010,52 34 56N,111 27 55W,GOS
BELM,264304919,10312,52 19 01N,008 10 10E,"GOS, CLIMAT(C)"
BELMONTE,264295357,86744,16 05 17S,039 12 56W,GOS
BELMULLET,264305655,3976,54 13 39N,010 00 25W,"GOS, CLIMAT(C), RBCN, RBSN(S)"
BELO HORIZONTE,264294811,83587,19 56 00S,043 56 00W,"GOS, CLIMAT(C), RBCN"
BELO HORIZONTE (AERO),264294807,83583,19 51 00S,043 57 00W,"A, GOS"
BELO HORIZONTE - PAMPULHA,264295445,86800,19 53 02S,043 58 10W,GOS
BELOGORKA,264307809,26069,59 21 00N,030 08 00E,GOS
BELOGORSK,264292543,31513,50 55 00N,128 28 00E,GOS
BELORECENSK,264308303,37013,44 45 00N,039 54 00E,GOS
BELORECK,264291975,28831,53 58 09N,058 21 21E,GOS
BELOVO,264292159,29745,54 27 20N,086 20 55E,GOS
BELOZERSK,264307789,22939,60 01 13N,037 45 33E,"GOS, RBSN(S)"
BELSK,264307147,12471,51 50 06N,020 47 28E,GOS
BELTERRA,264294239,82246,02 38 00S,054 57 00W,"GOS, CLIMAT(C), RBCN, RBSN(S)"
BELYJ,264307861,26585,55 50 00N,032 56 00E,GOS
"BEMIDJI/MUN., MN.",264299589,72755,47 30 00N,094 56 00W,"A, GOS"
BEN NEVIS,264300751,94835,37 13 41S,143 12 02E,"M, GOS"
BEN-GURION INT. AIRPORT,264305671,40180,32 00 00N,034 54 00E,"A, GOS, CLIMAT(C), RBCN, RBSN(S)"
BENALLA AIRPORT,264300827,94884,36 33 08S,145 59 52E,GOS
"BENASQUE, REFUGIO DE ESTOS",264308763,8928,42 40 31N,000 28 53E,GOS
BENCUBBIN,264300469,94632,30 48 29S,117 51 37E,GOS
BENDIGO AIRPORT,264300783,94855,36 44 22S,144 19 36E,"A, GOS"
BENGBU,264288091,58221,32 51 00N,117 18 00E,"GOS, RBSN(S)"
BENGKULU/PADANG KEMILING,264301643,96253,03 53 00S,102 20 00E,"A, RADAR, GOS, RBSN(S), WRO"
BENI-ABBES,264284863,60602,30 08 00N,002 10 00W,"GOS, CLIMAT(C), RBCN, RBSN(S)"
BENI-MELLAL,264286045,60191,32 22 00N,006 24 00W,"GOS, RBSN(S)"
BENI-SAF,264284819,60518,35 18 00N,001 21 00W,"C, GOS, CLIMAT(C), RBCN, RBSN(S)"
BENIN CITY,264286283,65229,06 19 00N,005 06 00E,"A, GOS, RBCN, RBSN(S)"
BENINA,264285771,62053,32 06 00N,020 16 00E,"A, R, GSN, CLIMAT(C), RBCN, RBSN(ST), GOS"
BENITO JUAREZ,264293777,87649,37 43 00S,059 47 00W,"A, GOS"
BENJAMIN CONSTANT,264294297,82410,04 23 00S,070 02 00W,"GOS, GSN, CLIMAT(C), RBCN, RBSN(S)"
"BENNINGTON, VT",264299349,72516,42 53 29N,073 14 49W,GOS
BENSON,264310411,3658,51 37 13N,001 05 55W,"A, GOS"
BENTO GONCALVES (83941-0),264295103,83941,29 15 00S,051 31 00W,GOS
BENTO GONCALVES (86979-0),264295745,86979,29 10 02S,051 32 05W,GOS
BENWLID,264285763,62014,31 44 26N,013 57 26E,"GOS, CLIMAT(C), RBCN, RBSN(S)"
BENXI,264287753,54346,41 19 00N,123 47 00E,GOS
BEOGRAD,264308417,13274,44 48 00N,020 28 00E,"GOS, CLIMAT(C), RBCN, RBSN(S)"
BEOGRAD/KOSUTNJAK,264308419,13275,44 46 00N,020 25 00E,"GOS, RBSN(T)"
BEOGRAD/SURCIN,264308415,13272,44 49 00N,020 17 00E,"A, GOS, RBSN(S)"
BERBERA,264286395,63160,10 25 00N,045 01 00E,"A, GOS, RBCN, RBSN(S)"
BERBERATI,264285161,64600,04 15 00N,015 48 00E,"A, GOS, CLIMAT(C), RBCN, RBSN(S)"
BERDIGESTYAH,264291635,24758,62 16 00N,127 04 00E,"GOS, RBSN(S)"
BEREKET,264293361,38647,39 15 00N,055 31 00E,"GOS, RBSN(S)"
"BERENS RIVER CS, MAN",264296669,71158,52 21 35N,097 01 19W,"GOS, GSN, CLIMAT(C), RBCN, RBSN(S)"
BEREZHANY,264310039,33409,49 26 00N,024 57 00E,GOS
BEREZINO,264303423,26853,53 49 42N,028 59 52E,GOS
BEREZOVO,264291451,23631,63 55 07N,065 31 38E,"GOS, GSN, CLIMAT(C), RBCN, RBSN(S)"
BERGA,264309085,2489,59 04 04N,018 06 32E,GOS
BERGAMO ORIO AL SERIO,264305729,16076,45 40 08N,009 42 01E,"A, GOS"
BERGARUD,264309117,2521,58 36 01N,012 24 47E,GOS
BERGEN,264304885,10238,52 48 55N,009 55 29E,"A, R, GOS"
BERGEN/FLESLAND,264306765,1311,60 17 21N,005 13 35E,"A, C, GOS"
BERGEN/FLORIDA,264306771,1317,60 22 59N,005 20 01E,"GOS, CLIMAT(C), RBCN, RBSN(S)"
BERGERAC,264304633,7530,44 49 23N,000 31 27E,"A, GOS"
BERGSTADIR,264305555,4053,65 42 00N,019 37 00W,GOS
BERHAMPORE,264288757,42603,24 08 00N,088 16 00E,GOS
BERINGOVSKAJA,264291751,25677,63 01 00N,179 17 00E,GOS
BERKHOUT AWS,264306383,6249,52 38 34N,004 58 44E,GOS
BERLEVAG AP,264306563,1083,70 52 15N,029 02 05E,GOS
BERLIK,264290267,35376,49 53 00N,069 31 00E,"GOS, CLIMAT(C)"
"BERLIN, NH",264299485,72616,44 34 30N,071 10 34W,GOS
BERLIN-DAHLEM,264304953,10381,52 27 13N,013 18 06E,"GOS, CLIMAT(C)"
BERLIN-SCHOENEFELD,264304959,10385,52 22 56N,013 31 57E,"A, GOS, CLIMAT(C)"
BERLIN-TEGEL,264304955,10382,52 33 56N,013 18 39E,"A, GOS, CLIMAT(C)"
BERLIN-TEMPELHOF,264304957,10384,52 28 03N,013 24 08E,"RADAR, GOS, CLIMAT(C), RBCN, WRO"
BERMEJO,264293903,85394,22 46 00S,064 19 00W,"A, GOS, CLIMAT(C), RBSN(S)"
BERN / BOLLWERK,264309631,6901,46 57 03N,007 26 26E,GOS
BERN / ZOLLIKOFEN,264309305,6631,46 59 27N,007 27 50E,"AGRIMET, GOS"
BERN-BELPMOOS,264309303,6630,46 54 22N,007 30 19E,"A, GOS"
BEROVO,264306283,13598,41 43 00N,022 51 00E,GOS
BERTOUA,264285147,64930,04 36 00N,013 44 00E,"GOS, RBCN, RBSN(S)"
BERU,264301841,91623,01 21 00S,176 00 00E,GOS
BERUS,264305127,10704,49 15 50N,006 41 12E,"GOS, CLIMAT(C)"
BESALAMPY,264285831,67037,16 45 00S,044 29 00E,"A, GOS, CLIMAT(C), RBCN, RBSN(S)"
BESANCON,264304555,7288,47 14 56N,005 59 20E,GOS
BESTOBE,264290243,35092,52 30 00N,073 06 00E,GOS
BESTYAHSKAYA ZVEROFERMA,264291573,24449,65 18 00N,127 07 00E,"GOS, RBSN(S)"
BET DAGAN,264305669,40179,32 00 00N,034 49 00E,"AGRIMET, R, WT, GOS, CLIMAT(C), RBCN, RBSN(ST)"
BETARE-OYA,264285139,64901,05 36 00N,014 04 00E,"GOS, RBCN"
BETHAL,264286529,68370,26 27 44S,029 27 38E,GOS
"BETHEL/BETHEL AIRPORT, AK",264298793,70219,60 47 06N,161 50 24W,"A, R, WT, GOS, GSN, CLIMAT(C), RBCN, RBSN(ST)"
BETHLEHEM,264286565,68461,28 14 59S,028 20 03E,"A, RADAR, GOS, WRO"
BETTLES,264298777,70174,66 55 00N,151 31 00W,"A, GOS, RBSN(S)"
BETUL,264288925,42860,21 52 00N,077 56 00E,GOS
BEVERLEY,264301127,95615,32 06 30S,116 55 29E,GOS
BEYLAGAN AERODROME,264303355,37905,39 46 00N,047 45 00E,"A, GOS"
BEYROUTH (AEROPORT),264306151,40100,33 49 00N,035 29 00E,"A, C, R, GOS, CLIMAT(C), RBCN, RBSN(ST)"
BEZIERS-VIAS,264304701,7638,43 19 19N,003 21 10E,"A, GOS"
BEZNAU,264309335,6646,47 33 26N,008 14 00E,GOS
BHADRACHALAM,264289105,43136,17 40 00N,080 53 00E,GOS
BHAGALPUR,264288691,42498,25 14 00N,086 57 00E,GOS
BHAIRAWA AIRPORT,264290997,44438,27 31 00N,083 27 00E,"A, GOS, RBSN(S)"
BHAKKAR,264291199,41669,31 37 00N,071 04 00E,GOS
BHAMO,264290865,48019,24 16 00N,097 12 00E,"GOS, RBSN(S)"
BHARATI,264310719,89776,69 24 41S,076 11 07E,GOS
BHARATPUR,264288511,42258,27 13 00N,077 30 00E,GOS
BHATINDA,264288409,42097,30 10 00N,074 35 00E,GOS
BHAUNAGAR,264288911,42838,21 45 00N,072 12 00E,"A, GOS"
BHAWANIPATNA,264289043,43042,19 55 00N,083 11 00E,GOS
BHILWARA,264288645,42447,25 21 00N,074 38 00E,GOS
BHIND,264288567,42358,26 34 00N,078 48 00E,GOS
BHIRA,264289057,43062,18 27 00N,073 24 00E,GOS
BHOLA,264287391,41951,22 41 00N,090 39 00E,GOS
BHOPAL/BAIRAGHAR,264288791,42667,23 17 00N,077 21 00E,"A, R, WN, GOS, RBSN(ST)"
BHUBANESHWAR,264289003,42971,20 15 00N,085 50 00E,"A, R, WN, GOS, CLIMAT(C), RBCN, RBSN(ST)"
BHUJ-RUDRAMATA,264288767,42634,23 15 00N,069 48 00E,"A, GOS, RBSN(SP)"
BHUMIBOL DAM,264293149,48377,17 14 38N,099 00 09E,"GOS, RBSN(S)"
BHUNTAR,264288403,42081,31 50 00N,077 10 00E,"A, GOS"
BIAK/FRANS KAISIEPO,264301781,97560,01 11 00S,136 07 00E,"A, R, WT, GOS, GSN, CLIMAT(C), CLIMAT(CT), RBSN(ST)"
BIALYSTOK,264307105,12295,53 06 30N,023 10 20E,"GOS, CLIMAT(C), RBCN, RBSN(S)"
BIARRITZ-ANGLET,264304671,7602,43 28 10N,001 32 04W,"A, GOS"
BICEVAJA,264292595,31792,47 46 00N,135 38 00E,GOS
BICHENO (COUNCIL DEPOT),264301483,95989,41 52 26S,148 18 13E,"C, GOS"
BICKLEY,264301117,95610,32 00 20S,116 08 11E,GOS
BICURA,264292431,30934,50 36 00N,107 35 00E,GOS
"BICYCLE LAKE AAF, CA",264299781,74611,35 17 00N,116 37 00W,GOS
BIDA,264286249,65112,09 06 00N,006 01 00E,"A, GOS"
BIDAR,264289099,43125,17 55 00N,077 32 00E,GOS
BIDIYA,264291069,41293,22 27 46N,058 51 17E,GOS
BIDON 5,264284929,60685,22 19 00N,001 07 00E,GOS
BIDYADANGA,264300011,94202,18 41 04S,121 46 49E,GOS
BIE (SILVA PORTO),264284997,66325,12 23 00S,016 57 00E,"A, GOS"
BIEL,264309259,6607,47 07 13N,007 15 27E,GOS
"BIELSA, REFUGIO DE PINETA",264308761,8927,42 40 04N,000 05 51E,GOS
BIELSKO-BIALA,264307185,12600,49 48 29N,019 00 04E,GOS
BIERE,264309431,6704,46 31 30N,006 20 33E,GOS
BIERSET,264303509,6478,50 38 45N,005 27 20E,"A, GOS"
BIG BEND,264286901,68399,26 51 00S,031 55 00E,"A, GOS"
"BIG PINEY, WY",264299551,72671,42 34 00N,110 06 00W,"A, GOS"
"BIG TROUT LAKE A, ONT",264297587,71675,53 49 04N,089 53 49W,"A, GOS"
"BIG TROUT LAKE READAC, ONT",264297873,71844,53 48 56N,089 53 44W,"A, GOS, GSN, RBSN(S)"
"BIG TROUT LAKE, ONT",264296753,71208,53 48 58N,089 53 30W,"GOS, CLIMAT(C), RBCN, RBSN(S)"
"BIG VALLEY AGCM, ALTA",264296413,71011,51 59 52N,112 48 09W,GOS
BIHAC,264303523,14528,44 48 29N,015 52 00E,"AGRIMET, GOS"
BIJAPUR,264289123,43161,16 49 00N,075 43 00E,GOS
BIJIE,264288035,57707,27 18 00N,105 14 00E,GOS
BIJSK ZONAL'NAYA,264292223,29939,52 40 30N,084 55 32E,"GOS, GSN, CLIMAT(C), RBCN, RBSN(S)"
BIKANER,264288465,42165,28 00 00N,073 18 00E,"GOS, GSN, CLIMAT(C), RBCN, RBSN(S)"
BIKIN,264292603,31832,46 48 00N,134 16 00E,"GOS, RBSN(S)"
BILA TSERKVA,264310047,33464,49 45 00N,030 07 00E,GOS
BILASPUR (42080-0),264288401,42080,31 15 00N,076 40 00E,GOS
BILASPUR (42782-0),264288873,42782,22 06 00N,082 10 00E,GOS
BILASUVAR,264303383,37972,39 28 00N,048 33 00E,GOS
BILBAO/AEROPUERTO,264308571,8025,43 17 53N,002 54 21W,"A, GOS, CLIMAT(C), RBCN"
BILECIK,264309809,17120,40 09 00N,029 58 00E,GOS
BILIBINO,264291711,25147,68 03 00N,166 27 00E,"GOS, RBSN(S), CTBTO"
"BILLINGS/LOGAN INT.,  MT",264299555,72677,45 48 00N,108 32 00W,"A, GOS, CLIMAT(C), RBSN(S)"
BILLUND LUFTHAVN,264303889,6104,55 44 17N,009 10 03E,"A, GOS"
BILMA,264286191,61017,18 41 00N,012 55 00E,"GOS, GSN, CLIMAT(C), RBCN, RBSN(S)"
BILOGORA,264303649,14256,45 53 01N,017 12 01E,"RADAR, GOS, WRO"
BILOPILLJA,264310045,33446,49 50 00N,028 53 00E,GOS
BILOVODS'K,264310179,34434,49 13 00N,039 35 00E,GOS
BIMA/M.SALAHUDDIN,264301753,97270,08 32 33S,118 41 35E,"GOS, RBSN(S)"
BINGA,264287139,67755,17 37 00S,027 20 00E,GOS
"BINGHAMTON/BROOME CO., NY.",264299347,72515,42 13 00N,075 59 00W,"A, GOS, CLIMAT(C), RBSN(S)"
BINGLEY NO.2,264310339,3344,53 48 40N,001 52 00W,GOS
BINGOL,264309877,17203,38 52 00N,040 30 00E,"GOS, CLIMAT(C), RBCN, RBSN(S)"
BINN,264309463,6721,46 21 56N,008 11 27E,GOS
BINTULU,264301905,96441,03 12 00N,113 02 00E,"A, C, R, RADAR, WR, GOS, GSN, CLIMAT(C), RBCN, RBSN(ST), WRO"
BIPI,264302325,92040,02 01 00S,146 59 00E,"C, GOS"
BIR,264289021,43011,19 00 00N,075 43 00E,GOS
BIR MOGHREIN,264285955,61401,25 14 00N,011 37 00W,"A, GOS, GSN, CLIMAT(C), RBCN, RBSN(S)"
BIRAO,264285177,64658,10 17 00N,022 47 00E,"GOS, CLIMAT(C), RBCN, RBSN(S)"
BIRATA,264293353,38545,40 28 00N,062 17 00E,"GOS, CLIMAT(C), RBCN, RBSN(S)"
BIRATNAGAR AIRPORT,264291009,44478,26 29 00N,087 16 00E,"A, GOS, RBSN(S)"
BIRCHWOOD AWS,264302243,93838,45 56 38S,167 54 02E,GOS
BIRD ISLAND,264286735,68845,33 50 20S,026 17 10E,"C, GOS"
"BIRD ISLAND, SOUTH GEORGIA",264296041,88900,54 00 31S,038 03 04W,"GOS, ANTON, CLIMAT(C)"
BIRDSVILLE AIRPORT,264301059,95482,25 53 51S,139 20 50E,"A, GOS, GSN, CLIMAT(C), RBCN, RBSN(S)"
BIRJAND,264289447,40809,32 53 26N,059 17 01E,"GOS, RBSN(ST)"
"BIRMINGHAM, AL",264298955,72230,33 10 44N,086 46 56W,"GOS, RBSN(T)"
"BIRMINGHAM/MUN., AL.",264298951,72228,33 34 00N,086 45 00W,"A, GOS"
BIRNI-N'KONNI,264286207,61075,13 48 00N,005 15 00E,"GOS, CLIMAT(C), RBCN, RBSN(S)"
BIRNIN KEBBI,264286221,65003,12 28 00N,004 13 00E,GOS
BIROBIDZHAN,264292577,31713,48 44 00N,132 57 00E,"GOS, RBSN(S)"
BIRSK,264291919,28621,55 24 16N,055 33 14E,"GOS, RBSN(S)"
BIRZAI,264306185,26531,56 11 35N,024 46 27E,"AGRIMET, GOS, CLIMAT(C), RBCN, RBSN(S)"
BISCAROSSE,264304627,7503,44 25 54N,001 14 51W,"C, GOS"
BISCHOFSHOFEN,264302997,11141,47 24 24N,013 13 16E,GOS
BISCHOFSZELL,264309395,6678,47 29 51N,009 14 05E,GOS
BISCOE ISLANDS,264310595,89263,66 00 00S,066 08 00W,GOS
BISER,264291805,28138,58 31 00N,058 51 00E,"GOS, GSN, CLIMAT(C), RBCN, RBSN(S)"
BISHA,264292961,41084,19 59 00N,042 38 00E,"A, GOS, CLIMAT(C), RBCN, RBSN(S)"
BISHKEK,264290697,38353,42 51 00N,074 32 00E,"GOS, GSN, CLIMAT(C), RBCN, RBSN(S)"
BISHO,264286695,68752,32 53 40S,027 17 12E,"A, GOS"
"BISHOP, CA.",264299299,72480,37 22 00N,118 22 00W,"A, GOS, RBSN(S)"
BISKRA,264284825,60525,34 48 00N,005 44 00E,"A, GOS, CLIMAT(C), RBCN, RBSN(S)"
"BISMARCK/MUN., ND.",264299599,72764,46 46 18N,100 45 34W,"A, R, WT, GOS, GSN, CLIMAT(C), RBCN, RBSN(ST)"
BISOCA,264307455,15285,45 32 56N,026 42 37E,GOS
BISSAU AEROPORTO,264285703,61766,11 53 00N,015 39 00W,"A, GOS, CLIMAT(C), RBCN, RBSN(S)"
BISTRITA,264307329,15085,47 08 57N,024 30 50E,"AGRIMET, GOS"
BITAM,264285589,64510,02 05 00N,011 29 00E,"A, GOS, CLIMAT(C), RBCN, RBSN(S)"
BITOLA,264306257,13583,41 03 00N,021 22 00E,"GOS, CLIMAT(C), RBCN, RBSN(S)"
BITUNG,264301721,97016,01 26 35N,125 10 48E,"C, GOS"
BIVIO,264309531,6774,46 27 45N,009 40 07E,GOS
BIZERTE,264286973,60714,37 15 00N,009 48 00E,"A, AGRIMET, GOS, RBCN, RBSN(S)"
BJARGTANGAR,264305577,4101,65 30 00N,024 31 00W,GOS
BJELASNICA,264303545,14652,43 42 13N,018 15 26E,"M, GOS"
BJELOVAR,264303647,14253,45 54 35N,016 52 10E,GOS
BJORLI,264306691,1230,62 15 29N,008 11 59E,GOS
BJORNHOLT,264307007,1489,60 03 05N,010 41 16E,GOS
BJORNOYA (1028-0),264306509,1028,74 31 00N,019 00 17E,"C, GOS, GSN, CLIMAT(C), RBCN, RBSN(S)"
BJORNOYA (1028-1),264307025,1028,74 30 14N,019 00 04E,"C, R, WN, GOS, RBSN(T)"
BJUROKLUBB,264308961,2297,64 28 53N,021 34 45E,"GOS, RBSN(S)"
BLAAVANDSHUK FYR,264303875,6081,55 33 27N,008 04 58E,"C, LH, GOS"
"BLACK DIAMOND, ALTA",264298103,71982,50 42 24N,114 09 06W,GOS
BLACK POINT,264299971,94134,11 09 14S,132 08 35E,"C, GOS"
BLACK POLE,264301217,95675,34 44 03S,138 27 55E,GOS
BLACKALL AIRPORT,264301039,95351,24 25 49S,145 25 50E,"A, GOS"
"BLACKCOMB BASE SLIDING CENTER, BC",264297723,71756,50 06 09N,122 56 11W,GOS
"BLACKPOOL, SQUIRES GATE",264310333,3318,53 46 28N,003 02 22W,"A, GOS"
"BLACKSBURG, VA.",264299089,72318,37 12 14N,080 24 51W,"R, WT, GOS, RBSN(T)"
BLACKWATER AIRPORT,264300249,94398,23 36 05S,148 48 27E,"A, GOS"
BLAGODARNYJ,264308287,34958,45 06 00N,043 27 00E,GOS
BLAGOVESCETNSK,264292541,31510,50 16 49N,127 28 42E,"GOS, CLIMAT(C), RBSN(ST)"
BLAGOVESHCHENKA,264290217,28766,54 22 00N,066 58 00E,"GOS, CLIMAT(C), RBCN, RBSN(S)"
BLAHAMMAREN A,264308899,2210,63 11 11N,012 10 34E,GOS
BLAISY HAUT RADAR,264304549,7274,47 21 19N,004 46 33E,"RADAR, GOS, WRO"
BLAJ,264307413,15209,46 10 42N,023 56 07E,GOS
BLASJO,264306935,1440,59 20 34N,006 52 24E,GOS
"BLATTEN, LOETSCHENTAL",264309471,6725,46 25 14N,007 49 24E,GOS
BLOEMFONTEIN AIRPORT,264286557,68442,29 06 14S,026 17 53E,"A, R, WN, GOS"
BLOEMFONTEIN CITY,264286559,68443,29 07 13S,026 11 15E,GOS
BLOEMHOF,264286507,68343,27 39 04S,025 37 19E,GOS
BLOIS,264304535,7245,47 40 46N,001 12 45E,"A, GOS"
BLOMSKOG,264309013,2408,59 13 19N,012 04 41E,GOS
BLONDUOS,264305549,4045,65 40 00N,020 18 00W,"C, GOS"
"BLOOD TRIBE AGDM, ALTA",264297331,71517,49 34 00N,113 03 00W,GOS
"BLOOMFIELD, MO.",264299813,74662,36 53 00N,089 58 00W,GOS
BLUE HILL OBS. MA.,264299725,74492,42 13 00N,071 07 00W,"GOS, GSN, CLIMAT(C), RBCN"
"BLUE RIVER CS, BC",264297937,71883,52 07 45N,119 17 22W,"GOS, RBSN(S)"
"BLUE RIVER, WI.",264299673,74357,43 13 00N,090 32 00W,GOS
BLUE ROCK RESERVOIR,264300849,94900,38 04 51S,146 12 50E,GOS
BLUEFIELDS,264298713,78745,12 00 00N,083 46 00W,"A, GOS, RBSN(S)"
BO,264286385,61881,07 57 00N,011 46 00W,"A, GOS, CLIMAT(C)"
BO I VESTERALEN,264306633,1156,68 36 24N,014 25 59E,GOS
BOA ESPERANCA,264294785,83557,18 32 00S,040 16 00W,GOS
BOA VISTA (81615-0),264293907,81615,02 48 17N,060 38 48W,GOS
BOA VISTA (82024-0),264294181,82024,02 49 00N,060 39 00W,"GOS, GSN, CLIMAT(C), RBCN"
BOA VISTA (AERO),264294179,82022,02 50 00N,060 42 00W,"A, R, GOS, RBSN(S)"
BOBO-DIOULASSO,264285101,65510,11 10 00N,004 18 00W,"A, WT, GOS, CLIMAT(C), RBCN, RBSN(S)"
BOBRUISK,264303439,26961,53 12 31N,029 07 37E,GOS
BOBRYNETS',264310099,33717,48 04 00N,032 09 00E,GOS
BOCA DO ACRE,264294107,81927,08 46 36S,067 19 56W,GOS
BODAJBO,264292259,30253,57 51 53N,114 14 21E,GOS
BODEN,264308867,2171,65 48 30N,021 38 04E,GOS
"BODO AGDM, ALTA",264296763,71214,52 07 27N,110 06 05W,GOS
BODO VI,264306631,1152,67 16 01N,014 21 31E,"A, C, GOS, GSN, CLIMAT(C), RBCN, RBSN(S)"
BODRUM,264309941,17290,37 02 00N,027 26 00E,"C, GOS, RBSN(S)"
BODRUM MILAS,264309943,17291,37 14 00N,027 40 00E,"A, GOS"
BODRUM/MILAS,264309939,17289,37 14 00N,027 40 00E,"A, GOS"
BOENDE,264285297,64126,00 13 00S,020 51 00E,"A, GOS, CLIMAT(C), RBCN, RBSN(S)"
BOGOPOL',264292635,31958,44 15 00N,135 27 00E,GOS
BOGOR/CITEKO,264301691,96751,06 42 00S,106 57 03E,GOS
BOGORODITSKOE-FENINO,264308135,34110,51 10 00N,037 21 00E,"GOS, CLIMAT(C), RBCN, RBSN(S)"
BOGORODSKOE,264292523,31439,52 23 00N,140 28 00E,"GOS, CLIMAT(C), RBCN, RBSN(S)"
BOGOTA/ELDORADO,264295901,80222,04 42 00N,074 09 00W,"A, R, WTR, GOS, GSN, GUAN, CLIMAT(C), RBCN, RBSN(ST)"
BOGOTOL,264292075,29553,56 13 44N,089 33 12E,"GOS, RBSN(S)"
BOGRA,264287333,41883,24 51 00N,089 22 00E,"AGRIMET, R, GOS, CLIMAT(C), RBCN, RBSN(ST)"
BOGUCANY,264292021,29282,58 23 00N,097 27 00E,"GOS, GSN, CLIMAT(C), RBCN, RBSN(ST)"
BOGUCAR,264308183,34336,49 56 00N,040 34 00E,"GOS, RBSN(S)"
BOHAN,264292319,30618,53 08 00N,103 46 00E,GOS
BOHAPCHA,264291759,25707,62 05 49N,150 40 31E,"GOS, RBSN(S)"
BOHICON,264285021,65338,07 10 00N,002 04 00E,"GOS, CLIMAT(C), RBCN, RBSN(S)"
BOHODUKHIV,264310163,34302,50 12 00N,035 32 00E,GOS
BOI TAHULL,264308767,8932,42 28 42N,000 52 04E,GOS
"BOISE/MUN., ID.",264299557,72681,43 34 02N,116 12 41W,"A, R, WT, GOS, GSN, CLIMAT(C), RBCN, RBSN(ST)"
BOITA,264307447,15277,45 39 11N,024 16 18E,GOS
BOIZENBURG,264304889,10249,53 23 28N,010 41 16E,"GOS, CLIMAT(C)"
BOJNOURD,264289381,40723,37 29 14N,057 18 12E,"GOS, RBSN(S)"
BOKE,264285683,61816,10 56 00N,014 49 00W,"A, GOS, CLIMAT(C), RBCN, RBSN(S)"
BOKORO,264285201,64708,12 23 00N,017 03 00E,"GOS, CLIMAT(C)"
BOKOVSKAJA,264308201,34445,49 13 00N,041 50 00E,GOS
